Product_ID,Product_Name,Category,Price,Discount_Percent,Final_Price,Rating,Reviews,Units_Sold,Revenue,Stock
P001,NovaTech Smartphone X1 001,Electronics,19700,7,18321,4.5,5457,5590,102414390,72
P002,ZenByte Smartphone X2 002,Electronics,26000,18,21320,4.2,5292,3856,82209920,131
P003,Orion Smartphone X3 003,Electronics,31700,14,27262,3.9,3173,5574,151958388,299
P004,PixelPro Laptop Pro 14 004,Computers,64700,20,51760,4.7,3457,1748,90476480,432
P005,Astra Laptop Air 13 005,Computers,53100,13,46197,4.3,2458,5631,260135307,192
P006,TechCore Laptop Core 15 006,Computers,45000,21,35550,3.8,5775,5288,187988400,433
P007,Voltix Wireless Earbuds A 007,Audio,2300,27,1679,4.2,12100,8400,14103600,302
P008,Nexora Wireless Earbuds B 008,Audio,3900,23,3003,4.6,8362,7427,22303281,380
P009,ByteWave Bluetooth Speaker 009,Audio,2800,27,2044,4.1,4695,4229,8644076,139
P010,Lumina Smart Watch A 010,Wearables,6500,16,5460,3.9,5396,4739,25874940,209
P011,NovaTech Smart Watch B 011,Wearables,8900,15,7565,4.2,5049,4498,34027370,331
P012,ZenByte Fitness Band 012,Wearables,2600,31,1794,4.2,5087,7477,13413738,493
P013,Orion Tablet 10 013,Tablets,19700,17,16351,4,2780,4565,74642315,48
P014,PixelPro Tablet Pro 014,Tablets,28800,7,26784,4.7,2112,1652,44247168,487
P015,Astra Tablet Lite 015,Tablets,15300,26,11322,3.9,4559,4055,45910710,488
P016,TechCore Gaming Mouse 016,Accessories,1900,27,1387,4.2,5903,9111,12636957,154
P017,Voltix Mechanical Keyboard 017,Accessories,5300,19,4293,4.9,4932,4650,19962450,90
P018,Nexora USB-C Hub 018,Accessories,2300,21,1817,4.4,6685,3946,7169882,101
P019,ByteWave Power Bank 10000 019,Accessories,1600,21,1264,4.4,7919,10729,13561456,259
P020,Lumina Power Bank 20000 020,Accessories,2500,19,2025,4.7,3779,9271,18773775,369
P021,NovaTech Smartphone X1 021,Electronics,20500,19,16605,4.1,8135,5401,89683605,242
P022,ZenByte Smartphone X2 022,Electronics,23700,10,21330,4.8,7732,5111,109017630,276
P023,Orion Smartphone X3 023,Electronics,34900,13,30363,4.5,5972,4109,124761567,347
P024,PixelPro Laptop Pro 14 024,Computers,65700,16,55188,4.4,3339,3091,170586108,418
P025,Astra Laptop Air 13 025,Computers,60800,7,56544,4.5,3598,2737,154760928,205
P026,TechCore Laptop Core 15 026,Computers,51800,27,37814,4,2541,6412,242463368,60
P027,Voltix Wireless Earbuds A 027,Audio,2300,27,1679,4.4,12139,9615,16143585,84
P028,Nexora Wireless Earbuds B 028,Audio,3800,20,3040,4.8,4272,7135,21690400,330
P029,ByteWave Bluetooth Speaker 029,Audio,3000,20,2400,4.6,7263,7592,18220800,385
P030,Lumina Smart Watch A 030,Wearables,5900,20,4720,4.2,4506,5427,25615440,81
P031,NovaTech Smart Watch B 031,Wearables,8700,6,8178,4.3,3875,3090,25270020,132
P032,ZenByte Fitness Band 032,Wearables,2300,34,1518,4.1,5546,11163,16945434,460
P033,Orion Tablet 10 033,Tablets,18600,17,15438,4,3861,2827,43643226,87
P034,PixelPro Tablet Pro 034,Tablets,31500,16,26460,4.6,1765,2543,67287780,228
P035,Astra Tablet Lite 035,Tablets,13400,16,11256,4.1,3432,4113,46295928,462
P036,TechCore Gaming Mouse 036,Accessories,1900,35,1235,4.5,8818,5458,6740630,392
P037,Voltix Mechanical Keyboard 037,Accessories,4900,14,4214,4.4,3859,5825,24546550,236
P038,Nexora USB-C Hub 038,Accessories,2200,27,1606,4,6977,5309,8526254,461
P039,ByteWave Power Bank 10000 039,Accessories,1600,16,1344,4,13056,12736,17117184,67
P040,Lumina Power Bank 20000 040,Accessories,2700,14,2322,4.2,6900,5933,13776426,225
P041,NovaTech Smartphone X1 041,Electronics,20600,9,18746,4.2,10463,6440,120724240,421
P042,ZenByte Smartphone X2 042,Electronics,26500,14,22790,4.4,8170,9047,206181130,304
